SpCluster,Station,Year,dens.percomp.change,dens.weight.mean,dens.weight.mean.y1,dens.percomp,dens.percomp.y1,SAVArea.percomp.change,SAVArea,denscomp.max,SAV_HA.max
Ruppia,EE2.1,2019,0.008146699490290898,1553.2691093285,1524.0800706145,0.43351947233472393,0.42537277284443303,-0.018869623631775412,2069.70167969,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2020,-0.13774563242647503,1059.736409077,1553.2691093285,0.2957738399082489,0.43351947233472393,-0.06259337022553751,1765.75427432,3582.9281230745,4855.904136090001
Ruppia,EE2.2,1984,NA,13.4594848375,NA,0.00893543298806207,NA,NA,31.08884287,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1985,0.1090692725697464,177.75104433450002,13.4594848375,0.11800470555780847,0.00893543298806207,0.14905855148671002,364.86865103,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1986,-0.06088251832819548,86.043419936,177.75104433450002,0.057122187229612986,0.11800470555780847,-0.08406121722457337,176.63431842,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1987,-0.014199447454257372,64.65472529,86.043419936,0.042922739775355614,0.057122187229612986,-0.030241259485953416,108.91648748,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1989,-0.01600636494611658,40.544262307000004,64.65472529,0.026916374829239035,0.042922739775355614,-0.013989805457699699,77.58977368000001,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1990,0.008703130788120014,53.6538292455,40.544262307000004,0.03561950561735905,0.026916374829239035,0.008305724620704578,96.18839243,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1991,-0.024336886274785724,16.9950627095,53.6538292455,0.011282619342573323,0.03561950561735905,-0.025470426295672817,39.15366401,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1992,0.026168145322601713,56.412263382999996,16.9950627095,0.03745076466517504,0.011282619342573323,0.09829346954321422,259.25761028,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1993,-0.004939674135355704,48.971608944,56.412263382999996,0.032511090529819334,0.03745076466517504,0.007512314232373807,276.07958244,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1994,-0.006556067312840967,39.096173841,48.971608944,0.025955023216978367,0.032511090529819334,-0.0768772243167449,103.93202748,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1995,0.0133465962187191,59.20021464999999,39.096173841,0.03930161943569747,0.025955023216978367,0.01040726908043936,127.23653596,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1996,0.09096652733366958,196.2235236495,59.20021464999999,0.13026814676936704,0.03930161943569747,0.1434120294160128,448.37235265,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1997,0.1142526778648239,368.3228709805,196.2235236495,0.24452082463419095,0.13026814676936704,0.08468633563317335,638.00648353,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1998,0.08710373745533462,499.5276413745,368.3228709805,0.33162456208952557,0.24452082463419095,0.03835816689370908,723.90012371,1506.3047146659999,2239.2529971
Ruppia,EE2.2,1999,-0.10121765023905316,347.063017612,499.5276413745,0.2304069118504724,0.33162456208952557,0.014101142082155682,755.47614838,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2000,-0.03579176299694081,293.1497162635,347.063017612,0.1946151488535316,0.2304069118504724,-0.07706809750104054,582.90118007,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2001,0.19463438339433725,586.3284056065,293.1497162635,0.38924953224786885,0.1946151488535316,0.22539994198675173,1087.62867571,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2002,0.002520483427114417,590.125021676,586.3284056065,0.39177001567498326,0.38924953224786885,0.10833514848218218,1330.21848164,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2003,-0.3118890723426242,120.3250415535,590.125021676,0.07988094333235905,0.39177001567498326,-0.41979718405531297,390.18637907000004,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2004,0.05076055053173888,196.78589813850002,120.3250415535,0.13064149386409793,0.07988094333235905,0.048490949285598245,498.76988259,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2005,-0.09565191074267318,52.70497402,196.78589813850002,0.03498958312142476,0.13064149386409793,-0.17283547031587002,111.74753768,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2006,-0.02445817723585167,15.8635063375,52.70497402,0.010531405885573088,0.03498958312142476,-0.028026276464194175,48.98961411,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2007,0.004214998407814058,22.2125783115,15.8635063375,0.014746404293387146,0.010531405885573088,0.0110073551367002,73.63786709,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2008,-0.010762193953296213,6.0014348195,22.2125783115,0.003984210340090934,0.014746404293387146,-0.013479662172649103,43.45349317,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2009,0.009775169434602021,20.7258186255,6.0014348195,0.013759379774692954,0.003984210340090934,0.014096743459037702,75.01966820999999,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2010,0.007108299806307235,31.433084137,20.7258186255,0.02086767958100019,0.013759379774692954,0.0031626625839830183,82.10166988,1506.3047146659999,2239.2529971
Ruppia,EE2.2,2011,0.05067878072029186,107.77077046950001,31.433084137,0.07154646030129205,0.02086767958100019,0.05867197439509906,213.48306439,1506.3047146659999,2239.2529971
